title,genre,budget,year,month
Get Smart,Action,80000000,2008,6
Something's Gotta Give,Drama,80000000,2003,12
Shutter Island,Drama,80000000,2010,2
Four Christmases,Comedy,80000000,2008,11
Robots,Animation,75000000,2005,3
Face/Off,Action,80000000,1997,6
Bedtime Stories,Fantasy,80000000,2008,12
Road to Perdition,Thriller,80000000,2002,7
Just Go with It,Romance,80000000,2011,2
Con Air,Action,75000000,1997,6
Eagle Eye,,80000000,2008,9
Cold Mountain,Drama,79000000,2003,12
The Book of Eli,Action,80000000,2010,1
Flubber,Comedy,80000000,1997,11
The Haunting,Horror,80000000,1999,7
Space Jam,Animation,80000000,1996,11
The Pink Panther,Action,0,2006,1
The Day the Earth Stood Still,Drama,80000000,2008,12
Conspiracy Theory,Action,75000000,1997,8
Fury,,68000000,2014,10
Six Days Seven Nights,Action,70000000,1998,6
Yogi Bear,Comedy,80000000,2010,12
Spirit: Stallion of the Cimarron,,80000000,2002,5
Zookeeper,Comedy,80000000,2011,7
Lost in Space,Adventure,80000000,1998,4
The Manchurian Candidate,Drama,80000000,2004,7
Déjà Vu,Romance,0,1998,4
Hotel Transylvania 2,Animation,80000000,2015,9
Fantasia 2000,Animation,80000000,1999,12
The Time Machine,Science Fiction,80000000,2002,3
Mighty Joe Young,Action,90000000,1998,12
Swordfish,Action,102000000,2001,6
The Legend of Zorro,Action,75000000,2005,10
What Dreams May Come,Drama,85000000,1998,10
Little Nicky,Comedy,85000000,2000,11
The Brothers Grimm,Adventure,88000000,2005,8
Mars Attacks!,Comedy,70000000,1996,12
Evolution,,0,2015,9
The Edge,Action,0,1997,9
Surrogates,Action,80000000,2009,9
Thirteen Days,Drama,80000000,2000,12
Daylight,Action,80000000,1996,12
Walking With Dinosaurs,Animation,80000000,2013,12
Battlefield Earth,Action,44000000,2000,5
Looney Tunes: Back in Action,Animation,80000000,2003,11
Nine,Drama,80000000,2009,12
Timeline,Action,80000000,2003,11
The Postman,Drama,80000000,1997,12
Babe: Pig in the City,Adventure,90000000,1998,11
The Last Witch Hunter,Fantasy,90000000,2015,10
Red Planet,Thriller,80000000,2000,11
Arthur and the Invisibles,Adventure,86000000,2006,12
Oceans,,0,2009,10
A Sound of Thunder,Thriller,80000000,2005,5
Pompeii,Action,130000000,2014,2
Top Cat Begins,Comedy,8000000,2015,10
A Beautiful Mind,Drama,60000000,2001,12
The Lion King,,45000000,1994,6
Journey 2: The Mysterious Island,Adventure,79000000,2012,1
Cloudy with a Chance of Meatballs 2,Animation,78000000,2013,9
Red Dragon,Crime,78000000,2002,9
Hidalgo,,100000000,2004,3
Jack and Jill,Comedy,79000000,2011,11
2 Fast 2 Furious,Action,76000000,2003,6
The Little Prince,Adventure,64000000,2015,7
The Invasion,Science Fiction,80000000,2007,8
The Adventures of Rocky & Bullwinkle,Action,76000000,2000,6
The Secret Life of Pets,Animation,75000000,2016,6
The League of Extraordinary Gentlemen,Fantasy,78000000,2003,7
Despicable Me 2,Animation,76000000,2013,6
Independence Day,Action,75000000,1996,6
The Lost World: Jurassic Park,Adventure,73000000,1997,5
Madagascar,,75000000,2005,5
Children of Men,Drama,76000000,2006,9
X-Men,Adventure,75000000,2000,7
Wanted,Action,75000000,2008,6
The Rock,Action,75000000,1996,6
Ice Age: The Meltdown,Animation,80000000,2006,3
50 First Dates,Comedy,75000000,2004,2
Hairspray,,50000000,2007,7
Exorcist: The Beginning,Horror,80000000,2004,8
Inspector Gadget,Action,75000000,1999,7
Now You See Me,Thriller,75000000,2013,5
Grown Ups,Comedy,80000000,2010,6
The Terminal,Comedy,60000000,2004,6
Hotel for Dogs,Comedy,35000000,2009,1
Vertical Limit,Action,75000000,2000,12
Charlie Wilson's War,Comedy,75000000,2007,12
Shark Tale,Animation,75000000,2004,9
Dreamgirls,Drama,70000000,2006,12
Be Cool,Comedy,53000000,2005,3
Munich,Drama,70000000,2005,12
Tears of the Sun,Action,70000000,2003,3
Killers,Action,75000000,2010,6
